Harvests;Plots;Replicates;Hybrids;yd;wb
Yr2;1436;6;H143;21.93666667;0
Yr2;1437;7;H143;9.61;0
Yr2;1438;8;H143;14.16333333;0
Yr2;1439;9;H143;13.92666667;0
Yr2;1446;6;H144;19.08666667;0
Yr2;1447;7;H144;16.82666667;0
Yr2;1448;8;H144;13.25333333;0
Yr2;1449;9;H144;8.626666667;1
Yr2;1491;1;H149;21.28333333;0
Yr2;1492;2;H149;18.32;0
Yr2;1493;3;H149;16.79666667;0
Yr2;1494;4;H149;19.64666667;0
Yr2;1495;5;H149;18.65666667;0
Yr2;1506;6;H150;22.845;0
Yr2;1507;7;H150;21.92;0
Yr2;1508;8;H150;12.69333333;0
Yr2;1509;9;H150;33.52666667;0
Yr2;1521;1;H152;20.27666667;0
Yr2;1522;2;H152;10.37;0
Yr2;1523;3;H152;28.49333333;0
Yr2;1524;4;H152;20.52;0
Yr2;1525;5;H152;7.33;0
Yr2;1526;6;H152;32.04;0
Yr2;1527;7;H152;11.90666667;0
Yr2;1528;8;H152;22.395;0
Yr2;1529;9;H152;14.68;0
Yr2;1571;1;H157;20.27666667;0
Yr2;1572;2;H157;12.965;0
Yr2;1573;3;H157;10.77333333;0
Yr2;1574;4;H157;14.64;0
Yr2;1575;5;H157;16.52666667;0
Yr2;1611;1;H161;19.24666667;0
Yr2;1612;2;H161;11.2;1
Yr2;1613;3;H161;33.42;0
Yr2;1614;4;H161;22.04666667;0
Yr2;1615;5;H161;30.75;0
Yr2;1626;6;H162;16.79666667;0
Yr2;1627;7;H162;16.64666667;0
Yr2;1628;8;H162;27.16666667;0
Yr2;1629;9;H162;26.55333333;1
Yr2;1636;6;H163;26.815;0
Yr2;1637;7;H163;15.195;0
Yr2;1638;8;H163;21.06;0
Yr2;1639;9;H163;31.45;0
Yr2;1651;1;H165;37.68666667;0
Yr2;1652;2;H165;28.16;0
Yr2;1653;3;H165;45.04333333;0
Yr2;1654;4;H165;26.32333333;0
Yr2;1655;5;H165;12.73666667;0
Yr2;1656;6;H165;25.23;0
Yr2;1657;7;H165;21.62666667;0
Yr2;1658;8;H165;26.12;0
Yr2;1659;9;H165;19.5;0
Yr2;1661;1;H166;23.88666667;0
Yr2;1662;2;H166;40.38;0
Yr2;1663;3;H166;28.22;0
Yr2;1664;4;H166;22.38333333;0
Yr2;1665;5;H166;16.17;0
Yr2;1666;6;H166;22.88;0
Yr2;1667;7;H166;22.29;0
Yr2;1668;8;H166;13.35;0
Yr2;1669;9;H166;42;0
Yr2;1671;1;H167;9.563333333;0
Yr2;1672;2;H167;28.74;0
Yr2;1673;3;H167;28.24;0
Yr2;1674;4;H167;26.76;0
Yr2;1675;5;H167;37.34;0
Yr2;1696;6;H169;26.62666667;0
Yr2;1697;7;H169;25.44666667;0
Yr2;1698;8;H169;20.7;0
Yr2;1699;9;H169;22.36666667;0
Yr2;11710;10;H117;19.19333333;0
Yr2;11810;10;H118;3.556666667;0
Yr2;12110;10;H121;1.38;1
Yr2;12310;10;H123;13.09;0
Yr2;12410;10;H124;13.28;0
Yr2;12510;10;H125;23.57333333;0
Yr2;12610;10;H126;12.67666667;0
Yr2;12710;10;H127;33.32333333;0
Yr2;13010;10;H130;28.17333333;0
Yr2;13110;10;H131;15.64;0
Yr2;13210;10;H132;22.60333333;0
Yr2;13410;10;H134;8.135;0
Yr2;13510;10;H135;15.94333333;0
Yr2;13610;10;H136;17.21333333;0
Yr2;13710;10;H137;21.96333333;0
Yr2;13810;10;H138;32.82666667;0
Yr2;14310;10;H143;23.13666667;0
Yr2;14410;10;H144;16.495;0
Yr2;15010;10;H150;29.64;0
Yr2;15210;10;H152;16.13333333;0
Yr2;16210;10;H162;15.66666667;0
Yr2;16310;10;H163;25.79;0
Yr2;16510;10;H165;37.21333333;0
Yr2;16610;10;H166;17.55333333;0
Yr2;16910;10;H169;37.88333333;0
Yr3;1171;1;H117;14.99666667;0
Yr3;1172;2;H117;12.37;0
Yr3;1173;3;H117;20.49333333;0
Yr3;1174;4;H117;16.74666667;0
Yr3;1175;5;H117;54.905;0
Yr3;1176;6;H117;35.315;0
Yr3;1177;7;H117;14.35333333;0
Yr3;1178;8;H117;21.73;0
Yr3;1179;9;H117;16.96333333;0
Yr3;1181;1;H118;36.48333333;0
Yr3;1182;2;H118;13.82;0
Yr3;1183;3;H118;35.94333333;0
Yr3;1184;4;H118;14.3;0
Yr3;1185;5;H118;30.74333333;0
Yr3;1186;6;H118;10.49666667;0
Yr3;1187;7;H118;25.23666667;0
